ID	姓名	武力	智力	统御	攻击速度	移动速度	攻击距离	攻击范围	资源ID	体积	技能特效	技能缩放比例	品质	阵营ID	武将类型	人物描述	阵型ID	阵型	缘分ID	分解获得基础铜钱数	头像	卡牌	卡牌1	卡牌2	卡牌3	卡牌4	卡牌5	卡牌6	卡牌7	剧情对话头像	声效	偏将加成	空行
10227	장각	73	111	108	1	85	400	400	sunquan_plist	50	mozhua_plist	0	5	4	30002	태평도의 창시자. 스스로 대현양사라 칭했으며 후한 말 농민을 규합하여 한왕조 타도를 목표로 거병.	1	ArmyFormation/changshezhen.tmx	40028	5000	heroHead/50026.png	heroCard/40026.png								Dialogue/zhangjiao.png	sound/skillRelasebefor/zhangjiao/zhangjiao.mp3	0.1	
10228	순욱	76	97	88	1	85	400	400	simayi_plist	50	mozhua_plist	0	5	3	30002	순씨 팔룡 중 한명으로 조조에게 곽희， 진군， 두기， 사마의 등 명사를 추천했으며 후에 위나라 중신이 됨.	3	ArmyFormation/changshezhen.tmx	40064	500	heroHead/50062.png	heroCard/40062.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
10229	제갈과	76	98	96	1	85	400	400	huangyueyin_plist	50	mozhua_plist	0	5	1	30002	제갈량과 황월영의 딸. 성도에서 전란을 피하며 선도를 수련해 하늘로 올라가 신선이 되었다 함.	4	ArmyFormation/yuanxingzhen.tmx	40019	2000	heroHead/50014.png	heroCard/40014.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
10230	화타	69	108	81	1	85	400	300	liubei_plist	50	huangbao_plist	0	5	4	30004	신의 화타. 마비산과 오금희의 창시자. 삼국제일의 명의로 관우의 독상과 조조의 두통을 치료함.	1	ArmyFormation/changshezhen.tmx	40032	5000	heroHead/50030.png	heroCard/40030.png								0	sound/skillRelasebefor/huatuo/huatuo.mp3	0.1	
11001	용사교위	43	23	23	1	95	140	300	dongzuo_plist	50	ziyun_plist	0	1	4	30001	교위 8명 중 한 명， 수레 모는 일을 하며， 봉급은 이천 석을 받는다.	5	ArmyFormation/heyizhen.tmx		300	heroHead/50092.png	heroCard/40092.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
11002	도위	38	30	23	1	100	140	300	ganling_plist	50	ziyun_plist	0	1	4	30001	각 군의 군위로， 녹봉 이천석， 태수를 보좌해 군사 주관. 팔품에 해당.	2	ArmyFormation/gouxingzhen.tmx		100	heroHead/50097.png	heroCard/40097.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11003	금위군	33	24	21	1	100	140	300	xiahoudun_plist	50	ziyun_plist	0	1	1	30001	황제와 궁성을 호위하는 무장	2	ArmyFormation/gouxingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png								Dialogue/bianfang.png	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11004	호위병	42	23	28	1	100	140	300	zhaoyun_plist	50	ziyun_plist	0	1	4	30001	중요 관원을 보위하는 무장	6	ArmyFormation/zhuixingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png								Dialogue/huwei.png	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11005	병조	57	32	27	1	85	140	300	dongzuo_plist	50	ziyun_plist	0	1	1	30001	병사 등을 관리하는 관원	4	ArmyFormation/yuanxingzhen.tmx		5000	heroHead/50089.png	heroCard/40089.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11006	감군	41	20	22	1	95	140	300	ganling_plist	50	ziyun_plist	0	1	1	30001	군대의 감시자	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11007	호군	47	27	21	1	95	140	300	xiahoudun_plist	50	ziyun_plist	0	1	4	30001	고위 군사 장관	5	ArmyFormation/heyizhen.tmx		2000	heroHead/50042.png	heroCard/40042.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11008	독군	34	25	29	1	100	140	300	zhaoyun_plist	50	ziyun_plist	0	1	1	30001	지방 군정 장관	6	ArmyFormation/zhuixingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11009	주작사	20	28	36	1	85	400	300	huangyueyin_plist	50	mozhua_plist	0	1	2	30002	고위 관원의 여자 사도	5	ArmyFormation/heyizhen.tmx		5000	heroHead/50007.png	heroCard/40007.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11010	호군교관	45	26	23	1	120	140	300	dongzuo_plist	50	ziyun_plist	0	1	4	30001	초급 군대 훈련 교관.	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11011	요희	28	39	29	1	85	400	300	huangyueyin_plist	50	mozhua_plist	0	1	2	30002	마법을 조금 아는 여성 무장	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50053.png	heroCard/40053.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11012	현승	22	30	28	1	85	400	300	zhouyu_plist	50	mozhua_plist	0	1	2	30002	현지사의 보좌관	1	ArmyFormation/changshezhen.tmx		500	heroHead/50096.png	heroCard/40096.png								Dialogue/canmeng.png	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11013	군사	23	43	26	1	95	400	300	liubei_plist	50	mozhua_plist	0	1	1	30002	관리 중 한 명. 주로 술책에 뛰어난 사람을 지칭	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50059.png	heroCard/40059.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11014	용사교위	43	23	23	1	95	140	300	dongzuo_plist	50	ziyun_plist	0	1	4	30001	교위 8명 중 한 명， 수레 모는 일을 하며， 봉급은 이천 석을 받는다.	5	ArmyFormation/heyizhen.tmx		300	heroHead/50092.png	heroCard/40092.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
11015	도위	38	30	23	1	100	140	300	ganling_plist	50	ziyun_plist	0	1	4	30001	각 군의 군위로， 녹봉 이천석， 태수를 보좌해 군사 주관. 팔품에 해당.	2	ArmyFormation/gouxingzhen.tmx		100	heroHead/50097.png	heroCard/40097.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11016	금위군	33	24	21	1	100	140	300	xiahoudun_plist	50	ziyun_plist	0	1	1	30001	황제와 궁성을 호위하는 무장	2	ArmyFormation/gouxingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png								Dialogue/bianfang.png	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11017	호위병	42	23	28	1	100	140	300	zhaoyun_plist	50	ziyun_plist	0	1	4	30001	중요 관원을 보위하는 무장	6	ArmyFormation/zhuixingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png								Dialogue/huwei.png	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11018	병조	57	32	27	1	85	140	300	dongzuo_plist	50	ziyun_plist	0	1	1	30001	병사 등을 관리하는 관원	4	ArmyFormation/yuanxingzhen.tmx		5000	heroHead/50089.png	heroCard/40089.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11019	감군	41	20	22	1	95	140	300	ganling_plist	50	ziyun_plist	0	1	1	30001	군대의 감시자	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11020	호군	47	27	21	1	95	140	300	xiahoudun_plist	50	ziyun_plist	0	1	4	30001	고위 군사 장관	5	ArmyFormation/heyizhen.tmx		2000	heroHead/50042.png	heroCard/40042.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11021	전군교위	36	31	39	1	100	140	300	ganling_plist	50	ziyun_plist	0	2	4	30001	팔품 관원.	6	ArmyFormation/zhuixingzhen.tmx		300	heroHead/50090.png	heroCard/40090.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11022	사성교위	35	31	35	1	95	140	300	xiahoudun_plist	50	ziyun_plist	0	2	4	30001	녹봉 이천석. 유승과 사마 소속， 칠백의 병사를 이끄는 직책으로， 팔품에 해당.	5	ArmyFormation/heyizhen.tmx		100	heroHead/50093.png	heroCard/40093.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11023	용위기	43	41	34	1	100	140	300	zhaoyun_plist	50	ziyun_plist	0	2	4	30001	기마병을 통솔하는 고급 무장	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50019.png	heroCard/40019.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11024	철낭자	50	36	21	1	100	140	300	shunshangxiang_plist	50	ziyun_plist	0	2	4	30001	재주가 대단한 여성 무장	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50053.png	heroCard/40053.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11025	검호	56	41	20	1	95	140	300	dongzuo_plist	50	ziyun_plist	0	2	1	30001	최고의 검술을 지닌 무장	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50019.png	heroCard/40019.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11026	평아	41	26	32	1	85	140	300	shunshangxiang_plist	50	ziyun_plist	0	2	4	30001	출신이 불분명한 여성 무장	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50007.png	heroCard/40007.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11027	나찰녀	24	51	27	1	95	400	300	huangyueyin_plist	50	mozhua_plist	0	2	1	30002	요술을 조금 부릴 줄 아는 여성 무장	3	ArmyFormation/yanxingzhen.tmx		5000	heroHead/50007.png	heroCard/40007.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11028	영군교관	48	36	28	1	120	140	300	ganling_plist	50	ziyun_plist	0	2	4	30001	중급 군대 훈련 교관.	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11029	금위군교관	45	28	26	1	120	140	300	xiahoudun_plist	50	ziyun_plist	0	2	4	30001	고급 군대 훈련 교관.	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11030	금도위	39	34	27	1	110	140	300	zhaoyun_plist	50	ziyun_plist	0	2	4	30001	구품 관원 무장	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50097.png	heroCard/40097.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan5.mp3	0.1	
11031	중서승	30	46	35	1	85	400	300	simayi_plist	50	mozhua_plist	0	2	4	30002	중앙 관직 팔품.	1	ArmyFormation/changshezhen.tmx		300	heroHead/50059.png	heroCard/40059.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan5.mp3	0.1	
11032	현위	40	47	28	1	85	400	300	sunquan_plist	50	mozhua_plist	0	2	4	30002	현령 혹은 현장의 밑에서 치안을 담당하는 직책으로， 구품에 해당.	1	ArmyFormation/changshezhen.tmx		100	heroHead/50095.png	heroCard/40095.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
11033	신술사	23	57	23	1	85	400	300	chaochao_plist	50	mozhua_plist	0	2	4	30002	선술이 비교적 높은 도사	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50059.png	heroCard/40059.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
11034	귀도사	34	38	30	1	100	400	300	zhouyu_plist	50	mozhua_plist	0	2	2	30002	사술을 조금 아는 도사	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50095.png	heroCard/40095.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11035	성도사	22	59	24	1	100	400	300	liubei_plist	50	mozhua_plist	0	2	2	30002	선술의 조예가 높은 도사	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50096.png	heroCard/40096.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11036	빈기	23	50	25	1	100	400	300	diaocan_plist	50	moyun_plist	0	2	2	30003	자색이 어울리는 뛰어난 군주의 첩	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50080.png	heroCard/40080.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11037	애첩	31	51	26	1	85	400	300	diaocan_plist	50	moyun_plist	0	2	2	30003	황제의 총애를 받는 첩	4	ArmyFormation/yuanxingzhen.tmx		5000	heroHead/50080.png	heroCard/40080.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11038	의사	30	54	28	1	85	400	300	zhouyu_plist	50	huangbao_plist	0	2	2	30004	의술이 평범한 무장	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50059.png	heroCard/40059.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11039	전군교위	36	31	39	1	100	140	300	ganling_plist	50	ziyun_plist	0	2	4	30001	팔품 관원.	6	ArmyFormation/zhuixingzhen.tmx		300	heroHead/50090.png	heroCard/40090.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11040	사성교위	35	31	35	1	95	140	300	xiahoudun_plist	50	ziyun_plist	0	2	4	30001	녹봉 이천석. 유승과 사마 소속， 칠백의 병사를 이끄는 직책으로， 팔품에 해당.	5	ArmyFormation/heyizhen.tmx		100	heroHead/50093.png	heroCard/40093.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11041	황보숭	70	31	39	1	95	140	300	dongzuo_plist	50	ziyun_plist	0	3	4	30001	동한의 명장， 군대에서 많은 병사들이 그를 따랐으며， 진창에서 동탁과 함께 황건적을 대파 함.	5	ArmyFormation/heyizhen.tmx	40040	2000	heroHead/50038.png	heroCard/40038.png								Dialogue/huangfusong.png	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11042	유장	58	44	65	1	85	400	300	simayi_plist	50	mozhua_plist	0	3	4	30002	익주 땅의 주인이었으며， 유능하진 않으나 인망이 두터움. 후에 유비에게 익주를 양도.	1	ArmyFormation/changshezhen.tmx	40041	500	heroHead/50039.png	heroCard/40039.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11043	장수	69	41	61	1	100	140	300	ganling_plist	50	ziyun_plist	0	3	4	30001	조조가 추부인을 얻자 조조에게 반란을 일으켜 대장 전위를 참살했으며 후에 조위에게 투항 함.	6	ArmyFormation/zhuixingzhen.tmx	40042	500	heroHead/50040.png	heroCard/40040.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11044	조절	32	75	39	1	85	400	300	huangyueyin_plist	50	mozhua_plist	0	3	3	30002	한헌제 황후. 백성을 사랑하며 한헌제가 조비에게 폐위된 후 한헌제를 따라 목숨을 걸고 싸움.	4	ArmyFormation/yuanxingzhen.tmx	40054	5000	heroHead/50073.png	heroCard/40073.png								0	sound/skillRelasebefor/caojie/caojie.mp3	0.1	
11045	정보	81	38	62	1	100	140	400	xiahoudun_plist	50	ziyun_plist	0	3	2	30001	오나라 삼대 노신. 손견과 원소가 대립할 때 황개， 한당과 함께 원소 수하의 안량， 문추와 대치 함.	6	ArmyFormation/zhuixingzhen.tmx	40082	2000	heroHead/50082.png	heroCard/40082.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11046	손로반	58	73	28	1	85	400	300	zhengmi_plist	50	huangbao_plist	0	3	2	30004	보련사와 손권의 딸로， 주유의 아들 주순에게 시집감. 성격이 사납고 인색해 중신들 모두 꺼려 함.	4	ArmyFormation/yuanxingzhen.tmx	40083	500	heroHead/50083.png	heroCard/40083.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11047	주연	77	40	42	1	95	140	300	zhaoyun_plist	50	ziyun_plist	0	3	2	30001	여몽 이후 강릉에 주둔하면서 조진， 하후상， 장합 등 위나라 장수의 포위 공격을 6개월간 방어 한 명장.	5	ArmyFormation/heyizhen.tmx	40084	500	heroHead/50084.png	heroCard/40084.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan5.mp3	0.1	
11048	능조	79	32	65	1	100	140	300	dongzuo_plist	50	ziyun_plist	0	3	2	30001	의협심과 담력이 높아 손책의 회남 정벌에 항상 선봉을 맡음.	6	ArmyFormation/zhuixingzhen.tmx	40088	500	heroHead/50088.png	heroCard/40088.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11049	관평	85	60	65	1	95	140	300	ganling_plist	50	ziyun_plist	0	4	1	30001	냉정하고 침착함. 무용은 부친 관우와 필적할 만 하며， 방덕과 삼십 여합이 지나도록 승부를 가르지 못함.	6	ArmyFormation/zhuixingzhen.tmx	40014	2000	heroHead/50009.png	heroCard/40009.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11050	위연	95	55	69	1	100	140	300	xiahoudun_plist	50	ziyun_plist	0	4	1	30001	촉나라의 무장으로 유비가 왕이된 후 한중도독 한중태수가 됨. 제갈량의 북벌에서 수차례 공을 세움.	6	ArmyFormation/zhuixingzhen.tmx	40016	2000	heroHead/50011.png	heroCard/40011.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11051	장포	88	43	59	1	100	140	300	zhaoyun_plist	50	ziyun_plist	0	4	1	30001	부친의 가보 사모를 무기로 사용하며， 용맹하고 민첩 함. 제갈량의 북벌전쟁 기간 중 혁혁한 공적을 세움.	2	ArmyFormation/gouxingzhen.tmx	40017	2000	heroHead/50012.png	heroCard/40012.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11052	법정	51	98	71	1	85	400	300	liubei_plist	50	moyun_plist	0	4	1	30003	원래 유장의 부하였으나 후에 유비에게 투항. 지략에 뛰어나며 진수로부터 촉의 정욱과 곽희라 불림.	1	ArmyFormation/changshezhen.tmx	40018	2000	heroHead/50013.png	heroCard/40013.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11053	관흥	89	61	62	1	95	140	300	zhaoyun_plist	50	ziyun_plist	0	4	1	30001	유비를 따라 오나라 토벌 전투에 참가. 부친의 복수를 위해 반장과 맹렬히 싸워 청룡언월도를 탈환 함.	4	ArmyFormation/yanxingzhen.tmx	40022	500	heroHead/50017.png	heroCard/40017.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11054	포삼낭	83	68	59	1	85	400	300	huangyueyin_plist	50	mozhua_plist	0	4	1	30002	관색의 아내. 관우로부터 직접 무예를 전수 받았으며， 제갈량이 남만 평정 후， 관색과 함께 남중에 주둔.	1	ArmyFormation/changshezhen.tmx	40023	500	heroHead/50018.png	heroCard/40018.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11055	주창	90	43	63	1	100	140	300	ganling_plist	50	ziyun_plist	0	4	1	30001	황건 출신으로 항상 훌륭한 주군을 모시기를 희망함. 후에 관우의 호위무사가 되어 평생을 따름.	2	ArmyFormation/gouxingzhen.tmx	40024	500	heroHead/50079.png	heroCard/40079.png								Dialogue/zhoucang.png	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11056	황보숭	70	31	39	1	95	140	300	dongzuo_plist	50	ziyun_plist	0	3	4	30001	동한의 명장， 군대에서 많은 병사들이 그를 따랐으며， 진창에서 동탁과 함께 황건적을 대파 함.	5	ArmyFormation/heyizhen.tmx	40040	2000	heroHead/50038.png	heroCard/40038.png								Dialogue/huangfusong.png	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11057	유장	58	44	65	1	85	400	300	simayi_plist	50	mozhua_plist	0	3	4	30002	익주 땅의 주인이었으며， 유능하진 않으나 인망이 두터움. 후에 유비에게 익주를 양도.	1	ArmyFormation/changshezhen.tmx	40041	500	heroHead/50039.png	heroCard/40039.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11058	장수	69	41	61	1	100	140	300	ganling_plist	50	ziyun_plist	0	3	4	30001	조조가 추부인을 얻자 조조에게 반란을 일으켜 대장 전위를 참살했으며 후에 조위에게 투항 함.	6	ArmyFormation/zhuixingzhen.tmx	40042	500	heroHead/50040.png	heroCard/40040.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11059	조절	32	75	39	1	85	400	300	huangyueyin_plist	50	mozhua_plist	0	3	3	30002	한헌제 황후. 백성을 사랑하며 한헌제가 조비에게 폐위된 후 한헌제를 따라 목숨을 걸고 싸움.	4	ArmyFormation/yuanxingzhen.tmx	40054	5000	heroHead/50073.png	heroCard/40073.png								0	sound/skillRelasebefor/caojie/caojie.mp3	0.1	
11060	정보	81	38	62	1	100	140	400	xiahoudun_plist	50	ziyun_plist	0	3	2	30001	오나라 삼대 노신. 손견과 원소가 대립할 때 황개， 한당과 함께 원소 수하의 안량， 문추와 대치 함.	6	ArmyFormation/zhuixingzhen.tmx	40082	2000	heroHead/50082.png	heroCard/40082.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11061	손로반	58	73	28	1	85	400	300	zhengmi_plist	50	huangbao_plist	0	3	2	30004	보련사와 손권의 딸로， 주유의 아들 주순에게 시집감. 성격이 사납고 인색해 중신들 모두 꺼려 함.	4	ArmyFormation/yuanxingzhen.tmx	40083	500	heroHead/50083.png	heroCard/40083.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11062	주연	77	40	42	1	95	140	300	zhaoyun_plist	50	ziyun_plist	0	3	2	30001	여몽 이후 강릉에 주둔하면서 조진， 하후상， 장합 등 위나라 장수의 포위 공격을 6개월간 방어 한 명장.	5	ArmyFormation/heyizhen.tmx	40084	500	heroHead/50084.png	heroCard/40084.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan5.mp3	0.1	
11063	능조	79	32	65	1	100	140	300	dongzuo_plist	50	ziyun_plist	0	3	2	30001	의협심과 담력이 높아 손책의 회남 정벌에 항상 선봉을 맡음.	6	ArmyFormation/zhuixingzhen.tmx	40088	500	heroHead/50088.png	heroCard/40088.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11064	관평	85	60	65	1	95	140	300	ganling_plist	50	ziyun_plist	0	4	1	30001	냉정하고 침착함. 무용은 부친 관우와 필적할 만 하며， 방덕과 삼십 여합이 지나도록 승부를 가르지 못함.	6	ArmyFormation/zhuixingzhen.tmx	40014	2000	heroHead/50009.png	heroCard/40009.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11065	위연	95	55	69	1	100	140	300	xiahoudun_plist	50	ziyun_plist	0	4	1	30001	촉나라의 무장으로 유비가 왕이된 후 한중도독 한중태수가 됨. 제갈량의 북벌에서 수차례 공을 세움.	6	ArmyFormation/zhuixingzhen.tmx	40016	2000	heroHead/50011.png	heroCard/40011.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11066	장포	88	43	59	1	100	140	300	zhaoyun_plist	50	ziyun_plist	0	4	1	30001	부친의 가보 사모를 무기로 사용하며， 용맹하고 민첩 함. 제갈량의 북벌전쟁 기간 중 혁혁한 공적을 세움.	2	ArmyFormation/gouxingzhen.tmx	40017	2000	heroHead/50012.png	heroCard/40012.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11067	법정	51	98	71	1	85	400	300	liubei_plist	50	moyun_plist	0	4	1	30003	원래 유장의 부하였으나 후에 유비에게 투항. 지략에 뛰어나며 진수로부터 촉의 정욱과 곽희라 불림.	1	ArmyFormation/changshezhen.tmx	40018	2000	heroHead/50013.png	heroCard/40013.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
11068	관흥	89	61	62	1	95	140	300	zhaoyun_plist	50	ziyun_plist	0	4	1	30001	유비를 따라 오나라 토벌 전투에 참가. 부친의 복수를 위해 반장과 맹렬히 싸워 청룡언월도를 탈환 함.	4	ArmyFormation/yanxingzhen.tmx	40022	500	heroHead/50017.png	heroCard/40017.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11069	포삼낭	83	68	59	1	85	400	300	huangyueyin_plist	50	mozhua_plist	0	4	1	30002	관색의 아내. 관우로부터 직접 무예를 전수 받았으며， 제갈량이 남만 평정 후， 관색과 함께 남중에 주둔.	1	ArmyFormation/changshezhen.tmx	40023	500	heroHead/50018.png	heroCard/40018.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
11070	주창	90	43	63	1	100	140	300	ganling_plist	50	ziyun_plist	0	4	1	30001	황건 출신으로 항상 훌륭한 주군을 모시기를 희망함. 후에 관우의 호위무사가 되어 평생을 따름.	2	ArmyFormation/gouxingzhen.tmx	40024	500	heroHead/50079.png	heroCard/40079.png								Dialogue/zhoucang.png	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11071	황보숭	70	31	39	1	95	140	300	dongzuo_plist	50	ziyun_plist	0	3	4	30001	동한의 명장， 군대에서 많은 병사들이 그를 따랐으며， 진창에서 동탁과 함께 황건적을 대파 함.	5	ArmyFormation/heyizhen.tmx	40040	2000	heroHead/50038.png	heroCard/40038.png								Dialogue/huangfusong.png	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11072	유장	58	44	65	1	85	400	300	simayi_plist	50	mozhua_plist	0	3	4	30002	익주 땅의 주인이었으며， 유능하진 않으나 인망이 두터움. 후에 유비에게 익주를 양도.	1	ArmyFormation/changshezhen.tmx	40041	500	heroHead/50039.png	heroCard/40039.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
11073	장수	69	41	61	1	100	140	300	ganling_plist	50	ziyun_plist	0	3	4	30001	조조가 추부인을 얻자 조조에게 반란을 일으켜 대장 전위를 참살했으며 후에 조위에게 투항 함.	6	ArmyFormation/zhuixingzhen.tmx	40042	500	heroHead/50040.png	heroCard/40040.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11074	장수	69	41	61	1	100	140	300	ganling_plist	50	ziyun_plist	0	3	4	30001	조조가 추부인을 얻자 조조에게 반란을 일으켜 대장 전위를 참살했으며 후에 조위에게 투항 함.	6	ArmyFormation/zhuixingzhen.tmx	40042	500	heroHead/50040.png	heroCard/40040.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
11075	정보	81	38	62	1	100	140	400	xiahoudun_plist	50	ziyun_plist	0	3	2	30001	오나라 삼대 노신. 손견과 원소가 대립할 때 황개， 한당과 함께 원소 수하의 안량， 문추와 대치 함.	6	ArmyFormation/zhuixingzhen.tmx	40082	2000	heroHead/50082.png	heroCard/40082.png								0	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11076	손로반	58	73	28	1	85	400	300	zhengmi_plist	50	huangbao_plist	0	3	2	30004	보련사와 손권의 딸로， 주유의 아들 주순에게 시집감. 성격이 사납고 인색해 중신들 모두 꺼려 함.	4	ArmyFormation/yuanxingzhen.tmx	40083	500	heroHead/50083.png	heroCard/40083.png								0	sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
