序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
112	1	60	2	전위: 너희가 나를 이겼지만 대세는 이미 기울었다. 조조， 동탁， 유비 모두가 우리 황건적의 칼에 그 명을 달리했다. 너희도 얼마 가지 못 할 것이야!	-1	1	주공: 누가 이 새끼 좀 데려가서 베어버려! 아니 처참하게 죽여버려! 누가 감히 내 앞에서 유비의 일을 꺼내래! 아직 유비의 제사도 못 지냈는데!!	-9	2	제갈량: 주공， 빨리 장각의 본거지를 습격하러 가시지요， 시간이 없습니다.													
113	0	90002	1	장수1: 주공， 맹획님의 서신으로는 장각 부대의 막강함이 예상을 훨씬 뛰어넘는다고 합니다. 맹획님이 버틸 수 있는 시간이 많지 않으니 속도를 내시길 바라고 있습니다.	-9	2	제갈량: 주공， 빨리 진군해야 할 것 같습니다. 싸움을 질질 끌 것 없이 길을 막는 자는 모두 쓸어버리며 가는 것을 목표로 해야 할 듯 합니다.	-1	1	주공: 좋아， 모두들 속도를 내자. 나와 함께 적을 무찌르자!													
114	0	90002	1	장수1: 주공， 맹획이 또 사람을 보내 긴급서신을 보내 왔습니다. 장각의 공세가 맹렬하여 자신과 손권은 이제 버티기 힘들어 철수하고 있다고 합니다.	-1	1	주공: 큰일이군. 맹획이 버티지 못하고 우리가 여기에 있는 걸 장각에게 들키는 날엔 우리 모두가 장각에게 포위되고 말 텐데! 제길， 난 여기서 죽기 싫다고… 	-9	2	제갈량: 빨리 전국옥새를 빼앗기만 하면 될 일이 아닌지요?	-6	2	하후돈: 맞아 맞아. 사내 자식이 찔찔 짜기나 하고 말이지!										
115	0	88	2	장각: 이 역적놈들， 감히 짐의 본거지에 멋대로 침입하다니. 내 오늘 너희를 능지처참할 것이다.	-1	1	주공: 장각은 들어라. 내가 살던 시대에서 너는 책에서 한 페이지도 안 되는 분량이었다. 요술을 부릴 수 있다고 해서 잘난 체 하지 말라고. 내 오늘 너를 처단하러 왔다!	-9	2	제갈량: 와， 주공， 멋지십니다…	-6	2	하후돈: 주공， 진짜 사나이네. 완전 상남자네!										
116	1	-1	1	주공: 장각， 그 전국옥새는 신의 무기다. 너 같은 정신 이상자에 성질머리 나쁜 놈과는 어울리지 않아!	88	2	장각: 네 이 놈! 이 손을 놓지 못할까!	-9	2	제갈량: 주공 절대 놓지 마십시오， 제가 도와 드리겠습니다!	88	2	장각: 네 놈들， 어서 물렀거라!										
117	0	88	2	장각: 여기가 도대체 어딘가? 왜 다들 이상한 옷을 입고 있는 게지?	-1	1	주공: 멍청아， 여기는 1800년대 후반이라고! 널 동물원에 쳐 넣어서 구경거리로 만들어버릴 테다!	88	2	장각: 허， 네 놈이 감히? 내 능력을 너무 얕잡아 보는군! 모두 명을 받들라!													
118	0	-1	1	주공: 저 놈 도대체 정체가 뭐야? 전국옥새도 없는데 무슨 술법이 저렇게 막강해?	-9	2	제갈량: 장각이 사술을 이용해 이곳 사람들을 해할까 걱정입니다. 만일 이곳 상하이에 가족들과 친구들이 있다면 큰일입니다.	-1	1	주공: 내가 막고 있을 테니 방법을 생각해 보라고!													
119	0	-9	2	제갈량: 주공， 제가 다시 전국옥새의 힘을 가동시켜 삼국시대로 다시 돌아갈 방법을 강구해 보겠습니다. 그러면 이곳의 무고한 백성들이 피해를 보지 않을 것입니다.	-6	2	하후돈: 경찰 불러서 총 쏘라고 하면 되잖아. 그럼 우리도 편하고.	-9	2	제갈량: 안 됩니다. 장각의 사술때문에 현대 무기로는 그를 상처 입힐 수 없습니다. 장각이 머리끝까지 화가 나 이곳의 백성들에게 해를 입힌다면 큰일이 날 것입니다.	-1	1	주공: 알았어. 내가 장각의 주의를 끌 테니까 너는 전국옥새를 가동시킬 연구를 해봐.										
120	1	88	2	장각: 내 수하에는 장군들과 병사들이 가득하다. 그 중에는 인간의 머리를 가진 말도 있지. 나를 어찌 상대할 것이냐!	-1	1	주공: 내 이곳에서 너와 사생결단을 낼 것이다! 설령 단 한 명의 병사가 남는다고 해도 포기하지 않을 것이다.	88	2	장각: 애송이가 완전히 미쳐서 겁을 상실했군.													
121	0	-1	1	주공: 제갈량， 아직이야?	-9	2	제갈량: 주공， 평소에 책 읽기를 게을리 해서 그런지 이건 정말 해독하기 어렵습니다.	-1	1	주공: 지금 나 놀리는 거야? 빨리 못 해? 나 지금 목숨 걸었다?!	-6	2	하후돈: 주공， 빨리! 황건적들이 또 오고 있다고!										
122	1	-1	1	주공: 제갈량， 빨리. 나 지금 힘들어 죽겠다.	-9	2	제갈량: 이제 옥새를 가동시킬 위치만 알면 되는데.. 고대 문자에 숨겨진 의미를 해독하고 다음 도장의 모양을 활성화시킬 방법을 생각해보면… 어쨌든 몇 시간이면 됩니다.	-1	1	주공: 너! 제갈량이 날 죽이려고 작정을 했구나.													
123	0	88	2	장각: 어떠냐. 아직 더 남아 있느냐?	-1	1	주공: 내가 아직 할 일이 많이 남았거든? 그 중 하나가 바로 네 목을 따는 거다!	88	2	장각: 헛소리 집어치워라. 이 몸이 어디에 있든 이 몸은 천하 제일의 술사다. 네가 어찌할 수 있겠느냐?	-1	1	주공: 댁이야말로 헛소리 좀 그만하시지. 얘들아 가자.										
124	0	-1	1	주공: 제갈량， 아직도 안 됐어? 이제 못 버티겠어!	-9	2	제갈량: 주공 걱정 마십시오. 이제 다 되어갑니다. 30분만 더 주십시오. 반드시 다시 삼국의 적벽으로 돌아갈 수 있는 시공의 문을 열겠습니다!	-1	1	주공: 확실한 거여?	-6	2	하후돈: 빨리 해. 장각이 또 군대를 이끌고 왔어!										
125	1	88	2	장각: 왜 갑자기 하늘이 어두워지는 거지? 거기다 천둥번개까지?	-1	1	주공: 하하， 우리도 전국옥새를 이용할 수 있다. 장각， 이놈아! 무섭냐?	-9	2	제갈량: 주공， 시공의 문이 다시 열렸습니다!!	88	2	장각: 어， 어떻게!										
126	0	-1	1	주공: 이 시공의 문으로 차원을 넘는 일은 정말 토할 것 같아. 제갈량， 다음부터는 먼저 얘기 좀 해주면 안 될까?	-9	2	제갈량: 주공， 저도 최선을 다 했습니다. 저도 토할 것 같습니다.....	88	2	장각: 네 놈들， 정신을 못 차리는구나. 추잡한 모습은 그만 보이고 어서 일어나 싸우자.													
127	1	-9	2	제갈량: 주공， 이번에 차원을 넘어오면서 장각의 사술이 이제 소용 없어진 것이 분명히 느껴집니다.	-1	1	주공: 그러게. 전에는 병사들이 베어도 베어도 끄떡 없더니 이제는 그렇지 않아졌어.	-9	2	제갈량: 결전의 시기가 다가왔습니다. 이 기회를 놓치지 말고 사력을 다해 한방에 장각 일당을 깨끗이 제거해야 합니다.													
128	0	-1	1	주공: 이게 마지막 전쟁인 것 같군. 우리 병마들을 집결시켜 사기를 북돋아라. 장각을 해치우자!	-7	2	장비: 이 역사적인 순간에 나 장비를 잊지 말라고!	-6	2	하후돈: 난 몸매도 좋고 외모도 뛰어나니까 내가 선봉에 설래.	-9	2	제갈량: 저는 한 번도 선봉에 서 본적이 없으니 제가 해 보고 싶습니다.	-8	2	장료: 주공， 나도 있다고. 나를 빼 먹으면 안되지!	-1	1	주공: 좋아， 그럼 미녀 사총사 대 장각 전쟁이라고 하자!				
129	0	88	2	장각: 불사의 몸이 없어도 내 수하에는 무수한 장수들이 있다. 네 놈들이 빠져나가지는 못 할 것이야.	-9	2	제갈량: 지금 병법술에서 너를 이기지는 못하지만 머리는 내가 더 좋을 것이다. 난 어려서부터 장학금이면 장학금， 반장， 학생회장 같은 대표를 수도 없이 도맡아왔다. 흥!	-7	2	장비: 제갈량 언니， 이렇게 중요한 시기에 장난 좀 안 치면 안돼? 저 천년도 더 옛날에 산 아저씨가 그걸 알아 먹겠냐고.	88	2	장각: 누가 저 발칙한 혀를 놀리는 것들을 잡아와라!!										
130	0	-9	2	제갈량: 주공， 손권과 맹획의 부대가 지금 이리로 오고 있다고 합니다. 시간을 조금만 끌면 장각을 포위하여 일거에 저 악의 뿌리를 처단할 수 있을 것입니다!	-1	1	주공: 좋아， 장각을 열 받게 만들어서 군대 전부를 우리 쪽으로 보내게 만드는 거야. 그럼 지원군이 오자마자 뒤에서 냅다 장각을 죽이는 거지.	-9	2	제갈량: 주공， 좋은 작전입니다. 좀 비겁하긴 하지만. 하하....	-1	1	주공: 소심하면 군자가 되지 못하고 모질지 못하면 대장부가 될 수 없다고 하잖아. 하하										
131	1	88	2	장각: 고약한 놈들 같으니라고. 네 놈들에게 패배하는 것도 모자라 대장군 셋씩이나 잃다니!	-1	1	주공: 당신은 원래 안 되는 거였어. 싸울 때 항상 속임수를 사용하고 삼류 술법과 온갖 더러운 계략으로 이겨왔으니 말이야. 칼과 창으로 맞섰다면 우리한테 절대 안될걸!	88	2	장각: 우매한 인간이여. 경솔하지 마라!													
132	0	-7	2	장비: 이 장각 놈아， 스스로 싸움터엔 나오지도 않고 대신 죽도록 사람만 보내니 진짜 얍삽한 놈이네	-6	2	하후돈: 목을 움추린 거북이 새끼 같은 놈이 천하술사는 무슨~!	90014	2	황건적: 저 간이 배 밖으로 나온 것들 같으니라고! 감히 우리 천공장군의 이름을 더럽히다니! 내 칼을 받아라!	-8	2	장료: 우리라고는 가만히 있을 줄 알고! 누가 더 빠른지 보자구!										
133	0	-7	2	장비: 이 차원이동이란 것 때문에 삼국의 역사를 통째로 다시 쓰게 될 줄 누가 알았겠어. 우리들이 이렇게 전쟁의 한가운데에 서있게 될 줄이야.	-6	2	하후돈: 예전에는 닭을 잡는거 쳐다도 못 봤었는데 요즘은 사람을 죽이면서도 눈 하나 깜짝하지 않게 되다니. 이런 내가 무서워져.	-9	2	제갈량: 저 장각이 누구의 손에 죽게 되는지 내기해 보는 것이 어떻습니까?	-8	2	장료: 뭘 걸까? 이기는 사람이 주공을 먼저 차지하기? 그렇다면 내가 먼저 찜. 하하!										
134	0	90002	1	장수1: 주공， 손권 장군과 맹획 대왕의 군대가 10리 밖에 와 있다고 합니다. 쾌속마로 서신을 보내왔는데 가슴에 맺힌 원한을 풀기 위해 손수 장각을 베고 싶다고 합니다.	-9	2	제갈량: 그럴 수는 없습니다. 이 역사적인 순간은 반드시 우리가 해내야 합니다. 그렇지 않으면 어찌 역사에 기록될 수 있겠습니까?	-6	2	하후돈: 그래 맞아. 이 몸이 저 장각을 처리하겠어.	-7	2	장비: 말해 뭘 하겠어? 어서 처리해버리자구!										
135	0	-1	1	주공: 장각， 우리의 병사가 사방으로 너를 포위하였으니 빠져나갈 수는 없을 것이다! 너의 목은 내 미녀 4총사에게， 아니， 4명의 대장군에게 내리는 포상이 될 것이다!	88	2	장각: 내게는 아직 수 만의 정예군사들이 남아있다. 네가 나를 포위하고 있다 한들 결국 내 손에 죽게 될 것이다!	-6	2	하후돈: 주공， 저 노친네는 죽을 때가 되어서도 조댕이는 겁을 상실한 모양이야. 내가 없애겠어!	-9	2	제갈량: 승패는 이번 전투에서 갈리게 될 것입니다. 하지만 모두들 방심하지 마십시오. 장각 역시 최후의 발악을 할 터이니 조심하셔야 합니다!	-7	2	장비: 장각을 처단하자. 나를 따르라!							
136	1	-1	1	주공: 이 악마 같은 장각이 정말 우리의 손에 죽게 될 거라고는 생각지도 못했어! 장각의 머리는?	-7	2	장비: 이미 모두가 볼 수 있도록 걸어 놓았지. 이제부터 천하태평이야!	-9	2	제갈량: 그건 모를 일이지요. 분열이 있으면 통일이 있고， 통일이 있으면 분열이 있는 법입니다. 장각이 없어졌다 해도 또 다른 인물이 황제를 칭하며 나올 수도 있지요.	-1	1	주공: 제갈량， 전국옥새로 우리를 다시 우리가 살던 시대로 되돌려 줄 수 있는 거지? 그럼 우리의 사명은 완수된 것인가…										
137	0	-12	2	신비인: 윤회의 문이 역방향으로 전환되면서 순서의 법칙이 어긋나 마신의 명장이 다시 나타날 것이네. 삼국에서 마왕만을 찾아야만 자네들 세상을 구할 것이야.	-1	1	주공: 뭐!? 지금 장난치는 거예요? 삼국지가 왜 환타지 마신 세계가 된 거야?	-12	2	신비인: 설명할 시간 없다네， 방패가 곧 해제되고 수많은 적들이 창궐하게 될것이야. 어서 빨리 동쪽으로 이동해 보게. 사천에 당신들에게 필요한 물건이 있을거야.	85	2	동탁：아이고 허리야， 어느 자식이 이렇게 해놓은 거야. 내가 만든 초가집을 완전히 밟다니， 이 새끼 좀 데려가서 베어버려!	-1	1	주공: 이거 참 큰일 났네， 왜 이 뚱보 구역에 있는 거지?							
138	0	-1	1	주공: 아이고 이 신비한 노친네가 너무하네， 우리들을 왜 이 동탁 구역으로 집어 넣은 거야， 잘못하면 목숨이 위태로울 수도 있겠는데?	-7	2	장비: 주공， 동탁 수하들이 너무 강해， 전투력이 장난 아니야. 이노무 시키들이 또 쫒아오고 있어!	104	2	가후: 전방의 도망중인 적장은 들어라， 내가 바로 독사 가후다， 반항하지 말고 순순히 죽음을 맞이하거라!!	-1	1	주공: 무슨 소리야! 다들 빨리 달려라， 목숨이 중요하지. 니들 저 동탁 뚱보 저렇게 급하게 쫓아 오는거 보이지?										
139	0	-1	1	주공: 공명， 사천에 어떻게 가는지 알아? 신비인이 사천에 우리가 찾는 물건이 있다고 했어	90002	1	장수1: 사천에 가는 길은 제가 안내할 수 있을것 같습니다. 저의 외삼촌이 사천 사람인데， 유장이 제일 총애하는 문관이 바로 우리 삼촌 장송이에요.	-9	2	공명: 사천으로가는 길은 험해요， 믿음직한 사람이 길을 안내하지 않으면 아주 위험해요， 그치만 우리 귀여운 장수1이 있어서 다행이네요	-7	2	장비: 그래， 그럼 우리 빨리 가자， 저 동탁 뚱보 또 쫓아오면 어떡해										
140	0	90002	1	장수1: 주공， 투항한 적군에 따르면 전방 멀지 않은 곳에 창고가 있고 그 안에 보석이 있다고 합니다. 창고는 동탁의 수하 맹장 고순이 지키고 있습니다.	-1	1	주공: 웬일~! 보물이라고? 이게 웬 대박이래?	90002	1	장수1: 네， 대부분 보물은 이미 옮겼갔고 몇 개만 남아있는 상태라 그런지 지키는 사람이 많지는 않습니다.	-7	2	장비: 그럼 잔말 말고， 빨리 고순을 죽이고 남아있는 보물이라도 가지러 가자고~										
141	0	57	2	고순: 누구냐， 이곳은 바로 군사 기밀 지역이니 썩 꺼지거라! 그렇지 않으면 나의 장검이 용서하지 않을 것이다.	-1	1	주공: 고순 장군님! 우리쪽으로 오시게 되면 원하시는 만큼 돈과 미인을 얻게 될 것입니다!	57	2	고순: 이 어린놈이 사람을 뭘로 보고 그딴 소리를 하는 것이냐? 시끄럽고 빨리 투항하거라!													
142	0	-1	1	주공: 장군님은 당세의 명장이나 주공을 잘 못 만나신듯 합니다.	57	2	고순: 시끄럽다! 나 사나이중의 사나이 고순!， 죽음 따윈 두렵지 않다	-1	1	주공: 야야~고순 장군을 놓아드려. 나와 장군님 사이엔 어떤 원한도 없어. 웃으면 복이 온다는 말도 있자나~	57	2	고순: 너희들이 지금 나를 놓아주더라도 다시 만나게 되면 또 목숨을 걸고 싸워야 할 것이다										
143	0	85	2	동탁: 어디 이 싸가지 없는 놈이 나의 보물을 훔쳐 가려고! 내 집도 부숴놓고 나의 보석까지 털려고 하다니!	90002	1	장수1: 주공， 큰일났습니다. 저희 모두 포위 된 것 같습니다.	-9	2	공명: 주공께서 동탁이 분명 보물 다시 되찾으러 올 것이라 말씀하시어， 제가 미리 장비 장군께 보물을 가지고 다른 곳으로 이동하도록 지시했습니다.	-1	1	주공: 자， 우린 여기서 시간을 최대한 끌어서 장비를 쫒아가지 못하도록 해야한다!										
144	1	-1	1	주공: 동탁 뚱보! 네가 뺏은 보물을 잘 보도록해， 서프라이즈가 있을 거야!	85	2	동탁: 보물 상자를 열어라! 뭐가 있는지 한번 보자	104	2	가후: 주공 큰일 났습니다! 보물 상자 안에 보물이 없어졌습니다! 다 돌 뿐 입니다.													
145	0	-1	1	주공: 자 이제 곧 사천이야， 다들 조심하도록! 심장이 쫄깃쫄깃 하는구만!	50	2	맹획: 하하하! 이제야 왔구나! 오래 기다렸다. 천자라고 하는 네녀석이 얼마나 쎈지 한번 보자	-9	2	공명: 큰일났습니다. 저희 모두 포위된것 같습니다. 보아하니 오늘도 한번 불맛을 보여줘야 하겠군요! 전군 화공을 준비하라!													
146	0	41	2	위연: 내가 왔다， 맹획 이 놈! 우리 주공의 귀한 손님에게 해를 입히려 하다니!	50	2	맹획: 유장 이 미꾸라지 같은 놈! 자기의 실력도 제대로 모르고 까불고 있군!	41	2	위연: 쓸데없는 소리 그만하고  내 칼을 받아라!	90002	1	장수1: 다행히 따라잡았군요 주공! 공명께서 말 편자를 손보라고 하여 빨리 성도에 도착할 수 있었습니다.										
147	0	-1	1	주공: 하하하， 과연 명성대로 훌륭하십니다! 어쩜 이렇게 무예가 뛰어나신가요? 맹획놈들을 한방에 쓸어버리셨군요!	41	2	위연: 아닙니다. 저는 그저 유장님의 명을 받아 장군을 안내하기 위해 온 것 뿐입니다.	-10	2	축융: 아이고， 난 또 누구라고， 이건 그 유명한 위장군 아니신지요!	-7	2	장비: 흥! 저게 어디서 여우 짓이야!										
148	0	-1	1	주공: 이렇게 예쁜 아가씨가 어쩌다가 그런 못생긴 맹획에게 시집을 갔데?	-9	2	공명: 지금 그런 생각할 때가 아닌거 같아요. 장비와 위 장군님이 함께 축융님하고 싸워도 막상막하가 될 것 같네요.	-9	2	공명: 주공， 저희는 싸우면서 조금씩 퇴각하는 전략으로 벗어나야 합니다. 여기는 아무래도 위험할 것 같습니다.													
149	0	55	2	진궁: 하하! 천천히 가시지요! 제 수하의 두 대장군도 이렇게 당하다니， 아무래도 뭔가 있긴한거 같군요	-1	1	주공: 진궁? 삼국시대 최고의 책사 중 한 명인 진궁 아니야!? 이거 큰일 나겠군!	-7	2	장비: 걱정하시 마!  글쟁이 서생 주제에! 가서 엄마 젖좀 더 먹고 오거라~													
150	0	-9	2	공명: 큰일 났습니다! 장비가 위험에 쳐해 있습니다.	-9	2	공명: 진궁! 우리 장비 너무 괴롭히지 마， 장비는 보내주고 나 제갈공명이랑 같이 한번 놀아볼래?	55	2	진궁: 하하， 제갈공명의 존함은 오래전에 들어 익히 알고 있습니다. 직접 만나 보니 역시 보통이 아니시군요	-7	2	장비: 공명언니~! 조심해， 그놈이 아마도 사악한 요술을 사용 하는 거 같아										
151	0	55	2	진궁: 귀신 공명은 아니겠지?! 뭔가 있는거 같은데 오늘 뭔가 실력을 보여주지 않으면 천자를 못 데려 갈수도 있겠군!	-1	1	주공: 야~! 왜 이렇게 말이 많아!? 입으로 싸우냐? 싸우려면 빨리 싸워!	-1	1	주공: 아이고 사람 살려， 다른 애하고 싸우지 왜 나한테 이래!? 왜!? 공명~나 좀 살려줘~!													
152	0	55	2	진궁: 맹획! 축융! 요술로 합체하여 마신의 사념으로 이 놈들을 죽여라!	-1	1	주공: ….뭐!?..트랜스포머? 합체?	-9	2	공명: 주공， 이상하게 불길한 예감이 드네요. 주변 식물은 빠르게 죽어가고 죽음의 숨결이 점점 크게 느껴져요.	-7	2	장비: 공명， 무섭게 그런말 하지 마， 나 이런 거 딱 질색이야!										
153	1	55	2	진궁: 이럴 수가 ， 마신의 사념이 사라지다니. 내가 잘못 본 거겠지?	-1	1	주공: 아이고，아이고， 머리는 왜 이렇게 아프고 옷은 언제 이렇게 찢어진거지?	-7	2	장비: 와… 주공! 너무 멋있었어요. 아까 마치 하늘에서 내려온 신처럼 마신놈을 바로 KO시켰어요.	-1	1	주공: 읭? 내가?? 그럴리가!! 저번에 차원을 넘어오면서도 이런 능력은 없었는데 새로 생긴 건가? 그럼 설마 나도 환타지 소설 주인공처럼 특별 대우를 받는다 말인가?	-9	2	공명: 주공! 우선 나중에 얘기하고 먼저 성도로 이동해야 합니다. 여긴 너무 위험 합니다.							
154	0	33	2	유장: 정말 구진제단으로 가는건가요? 수많은 무장들이 그곳에 갔으나 살아서 돌아온 사람은 단 한 명도 없는 곳입니다.	-1	1	주공: 현재로써는 갈 수밖에 없습니다. 이번 사천행의 목적은 그 곳에 있습니다.	-1	1	주공: 공명의 설명에 따르면 구진제단에 나타난 증상은 윤회의 문이 역방향으로 돌아가는 것과 관련이 있을 것이다라는 것이지?	-9	2	공명: 주공， 맞습니다. 구진제단이 바로 그 첫 번째 단서입니다.										
155	0	-1	1	주공: 공명! 이 건물의 건축 구조가 무슨 진법 같은데， 마지 지금 진법 아래에 깔려 있는 느낌이야.	-9	2	공명: 이 건물 전체가 하나의 대형 팔괘진입니다. 그리고 진중에 저도 모르는 진법들이 깔려 있습니다.	-1	1	주공: 아니 제걀공명이 모르는 진법이 존재하다니. 원칙대로라면 이 시대 나타나면 안되는거 아닌가?	-7	2	장비: 잠깐!! 무엇인가가 지금 점점 우리에게 다가오고 있어요.										
156	0	83	2	방통: 저는 방통이라고 합니다! 저는 여기에 몇 천 년 동안 갇혀있었어요. 오랜 기다림 끝에， 드디어 천명천자를 만났군요	-1	1	주공: 몇천 년? 몇천 년이 지나면 현대 아닌가? 근데 왜 아직 삼국 시대에 있는 거야?	83	2	방통: 그건 말을 하자면 너무 길것 같으니， 우선 밖으로 나가서 자세히 설명할테니， 저기 눈 앞에 있는 문제나 우선 해결해 주시죠	61	2	허저: 하하하， 천년을 기다렸다! 천자의 목숨을 내어 놓아라!										
157	0	83	2	방통: 설마 허저를 이기면 모든게 끝날거라 생각한건 아니겠지? 방통그 꼰대 영감 같은 놈이 날 죽일 수 있다고 생각하는 건가? 우린 같은 몸이야! 하하하!	83	2	방통: 만약 방통 놈이 일찍이 마신의 가르침에 따랐다면 어쩌면 여기에 3천년을 갖혀 있지 않을 수도 있었을 것을!	-9	2	공명: 다들 조심해， 이 방통은 이미 마신의 요술로 넘어간 상태고 방금 전 우리와 같이 있었던 그 방통이 아니야.	-7	2	장비: 어머~마화된 방통 너무 멋있는거 아냐? 심장이 벌렁벌렁 거리는걸?	-1	1	주공: 헐~ 장비 취향이 이렇게 특이한 줄은 몰랐네.							
158	1	-1	1	주공: 공명， 지금 먼 상황이야? 방통 선생님은 괜찮아졌거야?	-7	2	장비: 와~너무 멋있어요.  기절해 있는 순간도 너무 멋있어.	-9	2	공명: 방통님은 지금 호흡이 너무 약해요. 빨리 데리고 나가서 치료 해야 되요!													
159	0	-1	1	주공：큰일났어! 또 마물들이 나타났어， 모두들 조심해!	97	2	장료: 여긴 네 놈들이 오고 싶음 오고 가고 싶으면 가는 그런 곳이 아니다!	-9	2	공명: 큰일 났습니다! 아무래도 저희가 포위된 것 같군요. 사방에 마물이 깔려있어요	97	2	장료: 하하하!! 이제서야 알아차렸다고 하더라도 이미 늦었다!!										
160	0	78	2	조운: 상산 조자룡이 왔다! 장료 네 이놈~! 주공의 명을 받들어 천명천자를 구하러 왔으니 썩 내어놓거라!	97	2	장료: 뭐， 그래도 잘 왔어! 천년전 너희 오호장군 모두를 없어버려야 했거늘! 아직 살아 있을거라곤 생각지도 못했군! 너희를 구한 신비인 그 영감이 대단하긴 하구나.	95	2	견희: 쓸데없는 말 참 많이 하네! 감히 우리를 막겠다고?! 그럼 그 실력 부터 한번 봐야겠군!	-1	1	주공: 내가 가지! 근데 이 미녀는 뉘신지~? 장난아닌데?										
161	0	95	2	견희: 장료~쪽팔리지도 않냐? 쯧쯧~! 평범한 사람 하나를 처리를 못하고， 쪽이란 쪽은 니가 다 팔고 다니는구만!	97	2	장료: 이런! 그의 몸에는 나의 힘을 짓누르는 무엇인가가 있군! 내 마력이 점점 줄어들고 있다구!!	-9	2	공명: 역시 조운~!! 정말 대단하군요! 마물들을 다 죽이고， 장료에게도 저렇게 큰 상처를 입히다니요!	-7	2	장비: 공명언니! 여기 삼국 세계 무장들 전투력이 예전보다 훨씬 쎈거 같아요										
162	1	95	2	견희: 조자룡~! 네놈의 주공이 신옥을 찾아낼 줄이야.. 신옥의 힘은 나와 장료로는 감당할 수 없는 것! 윽~! 어쩌면 나 이후의 마신도 너희를 막을 수 있을지 모르겠군!	78	2	조운: 네 놈들 모두 분신이라는 것을 알고 있다! 진짜는 네 놈들보다 훨씬 강하겠지! 저기 제단 중심이 너희의 본체가 있는 곳이겠군!	97	2	장료: 우리가 분신인 것도 쉽게 파악해 내다니!! 역시 조운이군! 네 놈을 너무 얕잡아 봤구나! 조금만 기다려라 조자룡!! 곧 본체가 회복되니...그땐…크하하하!	95	2	견희: 쓸데없는 소리 그만하고 빨리 가죠!										
163	0	78	2	조운: 여기 검은 마물들은 마법으로 진화된 것들로， 이 녀석들이 죽으면 그 에너지는 다시 이것들을 만든 마신에게 돌아 가게됩니다. 별것 아니니 놀라지 마십시오.	-1	1	주공: 자룡누님! 아， 아니아니~자룡형제! 지금 여기가 어디인지 도대체 무슨일인지 알려줄 있겠어?	78	2	조운: 여긴 삼국시대와 평행세계인 또 다른 삼국시대 입니다. 원인은 모르지만， 이 곳은 삼국시대에 영원히 정체되어 있고， 모든 무장들은 끊임없이 환생하고 있습니다!	78	2	조운: 만약 무장이 재생하게 되면 이전의 모든 기억은 다 사라지고 모든 것이 새롭게 시작됩니다. 또한 이 상태를 몇천년을 유지하게 됩니다.	-9	2	공명: 이게 왜 이러는 거죠? 설마…							
164	0	94	2	사마의: 쯧쯧쯧~! 역시 쉽지 않군! 제갈공명! 너의 능력은 확실히 천년의 윤회를 거쳐온 상황에서도 여전히 뛰어나군!	-7	2	장비: 누구냐? 진정한 영웅이라면 몰래 숨어 있지말고 빨리 나오거라!	94	2	사마의: 아가씨~내가 바로 옆에 있는 거 안 보여? 크크크~! 언니는 천년전부터 이미 마황이 찍어놨어!	94	2	사마의: 네 놈들!! 목숨 아까운게 뭔질 모르는구나!! 그러니 감히 마황에게 맞서기 위해 여기에 있는 것이겠지!! 이 하찮은 계집같은 것들!!	78	2	조운: 도대체 넌 누구냐?! 어떻게 천년 전에 일을 알고 있는거지?!!!!							
165	0	95	2	견희: 얘들아~! 있잖아~ 너희들 혹시 사마의란 존성대명을 들어 본 적 있어? 아， 아니지~! 사마대사님이라 해야겠군!	78	2	조운: 이거 큰일이군요! 공명이 여기에 오기전에 마신 뿐 아니라 더 강한 상대가 존재할 거라고 했는데， 설마 그게 진짜였을 줄이야…일이 점점 커지는군!	94	2	사마의: 공명 이놈!， 역시 대단하군! 누군가 네놈에게 마법의 보물을 준게 틀림없어! 웬만한 녀석은 상대도 안되겠군!	94	2	사마의: 너희는 우리가 얼마나 천자를 원하고 있는지 알지 못하는군! 그래， 이제 시간이 다 되었군! 이제 가거라!										
166	1	94	2	사마의: 신비한 노친네가 선택한 천자가 남다를줄은 예상했지만， 이 정도일 줄은 몰랐군! 비록 이 몸의 분신이 소멸했다고 해도 살아서 제단까지 가지는 못할 것이야!	-7	2	장비: 캬~아! 역시 주인공은 주인공이네! 중대한 고비때 마다 알아서 척척 해결해 주시니~! 오~빵~!! 완전 멋있어!!!	78	2	조운: 다들 빨리 가십시오! 저기가 제단의 중심부예요! 제단 중심을 파괴해야 진법이 풀리게 되고， 그래야 나갈수 있게 됩니다!													
167	0	-9	2	제갈량: 이 진법은 사방 4개의 돌기둥과 진법 중앙의 눈이 서로 연결되어 있습니다. 때문에 4명이 동시에 4개의 돌기둥을 동시에 부숴야 이 진법을 깨트릴 수 있습니다.	-7	2	장비: 근데 공명 언니! 주공과 방통은 지금 혼수 상태고 나머지 세명만 움직일 수 있는 상태예요. 어떡하죵?	78	2	조운: 제가 분신술을 오래 사용하지는 못하겠지만 돌기둥쯤 파괴하는건 문제 없습니다!	-9	2	제갈량: 좋습니다! 그럼 이제 시작하겠습니다.										
